1,005930,삼성전자,61500
2,373220,LG에너지솔루션,452000
3,000660,SK하이닉스,95700
4,207940,삼성바이오로직스,875000
5,005935,삼성전자우,56400
6,051910,LG화학,651000
7,006400,삼성SDI,624000
8,035420,NAVER,250000
9,005380,현대차,186000
10,035720,카카오,79200
11,000270,기아,76700
12,068270,셀트리온,202500
13,028260,삼성물산,120500
14,005490,POSCO홀딩스,256000
15,105560,KB금융,50700
16,012330,현대모비스,211000
17,096770,SK이노베이션,210500
18,055550,신한지주,35500
19,034730,SK,236000
20,066570,LG전자,102000
21,323410,카카오뱅크,31200
22,015760,한국전력,21550
23,034020,두산에너빌리티,21450
24,003550,LG,84300
25,259960,크래프톤,258000
26,003670,포스코케미칼,161500
27,032830,삼성생명,62000
28,329180,현대중공업,134500
29,011200,HMM,23550
30,086790,하나금융지주,38500
31,051900,LG생활건강,726000
32,017670,SK텔레콤,51200
33,033780,KT&G,81200
34,010130,고려아연,589000
35,010950,S-Oil,92300
36,009150,삼성전기,138000
37,018260,삼성에스디에스,133000
38,030200,KT,38000
39,003490,대한항공,26500
40,000810,삼성화재,198500
41,302440,SK바이오사이언스,122000
42,377300,카카오페이,68400
43,009830,한화솔루션,46600
44,316140,우리금융지주,12200
45,036570,엔씨소프트,382500
46,011070,LG이노텍,347000
47,352820,하이브,188000
48,090430,아모레퍼시픽,128000
49,024110,기업은행,9690
50,361610,SK아이이테크놀로지,94700
51,086280,현대글로비스,178500
52,009540,한국조선해양,92100
53,097950,CJ제일제당,419000
54,011170,롯데케미칼,182000
55,402340,SK스퀘어,43600
56,326030,SK바이오팜,78000
57,034220,LG디스플레이,16250
58,251270,넷마블,67300
59,383220,F&F,149000
60,018880,한온시스템,10600
61,035250,강원랜드,26400
62,047810,한국항공우주,56100
63,069500,KODEX 200,32915
64,032640,LG유플러스,12350
65,010140,삼성중공업,5990
66,088980,맥쿼리인프라,12850
67,000720,현대건설,46400
68,011790,SKC,132500
69,161390,한국타이어앤테크놀로지,38950
70,021240,코웨이,65000
71,267250,HD현대,59400
72,000060,메리츠화재,38150
73,004020,현대제철,33250
74,005830,DB손해보험,62400
75,028050,삼성엔지니어링,22400
76,010620,현대미포조선,108000
77,271560,오리온,109000
78,000100,유한양행,56800
79,006800,미래에셋증권,6730
80,180640,한진칼,61800
81,078930,GS,44200
82,004990,롯데지주,38900
83,011780,금호석유,131500
84,138040,메리츠금융지주,30050
85,137310,에스디바이오센서,37350
86,036460,한국가스공사,41700
87,128940,한미약품,311500
88,371460,TIGER 차이나전기차SOLACTIVE,16600
89,029780,삼성카드,31550
90,012450,한화에어로스페이스,71400
91,003410,쌍용C&E,7030
92,071050,한국금융지주,61200
93,020150,일진머티리얼즈,72500
94,005940,NH투자증권,10050
95,241560,두산밥캣,33200
96,307950,현대오토에버,120500
97,005387,현대차2우B,89800
98,008560,메리츠증권,4930
99,016360,삼성증권,35100
100,047050,포스코인터내셔널,25150
101,001450,현대해상,34100
102,282330,BGF리테일,174500
103,010060,OCI,124000
104,028670,팬오션,5520
105,002790,아모레G,35600
106,139480,이마트,105000
107,272210,한화시스템,15300
108,000120,CJ대한통운,126500
109,023530,롯데쇼핑,101500
110,052690,한전기술,74900
111,008930,한미사이언스,41600
112,008770,호텔신라,72200
113,064350,현대로템,25750
114,112610,씨에스윈드,64900
115,002380,KCC,306000
116,006360,GS건설,31500
117,007070,GS리테일,25600
118,014680,한솔케미칼,230500
119,030000,제일기획,22350
120,026960,동서,25650